,cities,city_number,city name,weather_check,country,date,humidity,lat,lon,wind_speed,clouds
0,kholodnyy,2124611,Kholodnyy,-24.79,RU,1587230590,76,62.72,147.95,2.13,98
1,ushuaia,3833367,Ushuaia,12,AR,1587230351,32,-54.8,-68.3,5.7,40
2,puerto ayora,3652764,Puerto Ayora,29,EC,1587230538,74,-0.74,-90.35,6.2,40
4,conceicao do araguaia,3401845,Conceição do Araguaia,28.13,BR,1587230591,81,-8.26,-49.26,1.54,76
5,aswan,359792,Aswān,28,EG,1587230591,21,24.09,32.91,2.1,69
6,hobart,2163355,Hobart,7.22,AU,1587230393,87,-42.88,147.33,2.5,75
7,kruisfontein,986717,Kruisfontein,19.21,ZA,1587230591,52,-34,24.73,3.92,0
8,nikolskoye,546105,Nikolskoye,3,RU,1587230425,86,59.7,30.79,7,90
9,ahipara,2194098,Ahipara,17.66,NZ,1587230591,84,-35.17,173.17,4.9,65
10,edeia,3464363,Edéia,26.79,BR,1587230591,62,-17.34,-49.93,1.14,96
11,gornopravdinsk,1506268,Gornopravdinsk,7.77,RU,1587230592,76,60.05,69.9,5.02,99
12,saskylakh,2017155,Saskylakh,-13.06,RU,1587230592,81,71.92,114.08,2.26,0
14,punta arenas,3874787,Punta Arenas,11,CL,1587230592,50,-53.15,-70.92,5.7,57
15,hithadhoo,1282256,Hithadhoo,28.98,MV,1587230466,74,-0.6,73.08,5.73,99
16,sao filipe,3374210,São Filipe,21.94,CV,1587230592,73,14.9,-24.5,10.45,14
17,cascais,2269594,Cascais,20.56,PT,1587230493,55,38.7,-9.42,4.6,20
18,jamestown,5122534,Jamestown,3.89,US,1587230392,64,42.1,-79.24,2.1,75
19,rikitea,4030556,Rikitea,24.88,PF,1587230592,70,-23.12,-134.97,2.09,1
20,lebu,3883457,Lebu,17.94,CL,1587230489,68,-37.62,-73.65,2.93,91
21,yazoo city,4451810,Yazoo City,17,US,1587230593,82,32.86,-90.41,2.95,90
22,torbay,6167817,Torbay,4.44,CA,1587230565,48,47.67,-52.73,9.8,75
24,gari,1506676,Gari,2.59,RU,1587230593,83,59.43,62.35,5.27,92
25,bluff,2206939,Bluff,6.11,NZ,1587230593,93,-46.6,168.33,1.34,100
26,hermanus,3366880,Hermanus,21.67,ZA,1587230593,69,-34.42,19.23,0.92,6
27,codrington,2171099,Codrington,10.92,AU,1587230537,84,-38.27,141.97,3.54,47
28,faya,110690,Faya,19,SA,1587230593,82,18.39,42.45,4.1,20
29,jiuquan,1279945,Jiuquan,11.85,CN,1587230593,23,39.74,98.52,2.12,38
30,bilibino,2126682,Bilibino,-22.34,RU,1587230549,81,68.05,166.44,2.25,13
